"id_user","count_she_he_usage","category","class","class2"
"10,055",5,top_20_25,ordinary,ordinary
"10,068",5,top_50_100,ordinary,ordinary
"10,070",8,top_5,top_5,outstanding
"10,072",3,top_5_10,top_5_10,outstanding
"10,073",1,top_5,top_5,outstanding
"10,080",21,top_5,top_5,outstanding
"10,127",1,top_5_10,top_5_10,outstanding
"10,136",2,top_5_10,top_5_10,outstanding
"10,142",1,top_50_100,ordinary,ordinary
"10,156",1,top_50_100,ordinary,ordinary
"10,171",63,top_5,top_5,outstanding
"10,175",23,top_5,top_5,outstanding
"10,176",2,top_50_100,ordinary,ordinary
"10,214",180,top_5,top_5,outstanding
"10,228",2,top_50_100,ordinary,ordinary
"10,247",2,top_50_100,ordinary,ordinary
"10,253",1,top_20_25,ordinary,ordinary
"10,264",2,top_50_100,ordinary,ordinary
"10,273",3,top_25_30,ordinary,ordinary
"10,333",2,top_40_45,ordinary,ordinary
"10,340",1,top_50_100,ordinary,ordinary
"10,353",1,top_5,top_5,outstanding
"10,371",3,top_5,top_5,outstanding
"10,388",3,top_5_10,top_5_10,outstanding
"10,423",9,top_5_10,top_5_10,outstanding
"10,432",1,top_30_35,ordinary,ordinary
"10,434",2,top_5_10,top_5_10,outstanding
"10,455",3,top_50_100,ordinary,ordinary
"10,495",3,top_10_15,top_10_15,outstanding
"10,504",5,top_15_20,ordinary,ordinary
"10,509",1,top_50_100,ordinary,ordinary
"10,517",1,top_50_100,ordinary,ordinary
"10,521",8,top_50_100,ordinary,ordinary
"10,526",1,top_50_100,ordinary,ordinary
"10,543",11,top_10_15,top_10_15,outstanding
"10,564",2,top_10_15,top_10_15,outstanding
"10,565",1,top_10_15,top_10_15,outstanding
"10,599",4,top_15_20,ordinary,ordinary
"10,601",5,top_5_10,top_5_10,outstanding
"10,606",2,top_5,top_5,outstanding
"10,610",5,top_5,top_5,outstanding
"10,611",1,top_5,top_5,outstanding
"10,623",4,top_50_100,ordinary,ordinary
"10,627",10,top_5_10,top_5_10,outstanding
"10,635",6,top_5,top_5,outstanding
"10,640",2,top_30_35,ordinary,ordinary
"10,642",1,top_50_100,ordinary,ordinary
"10,650",1,top_50_100,ordinary,ordinary
"10,659",10,top_5,top_5,outstanding
"10,660",14,top_5,top_5,outstanding
"10,663",49,top_5,top_5,outstanding
"10,680",1,top_5_10,top_5_10,outstanding
"10,701",7,top_50_100,ordinary,ordinary
"10,711",2,top_10_15,top_10_15,outstanding
"10,728",8,top_5_10,top_5_10,outstanding
"10,731",6,top_40_45,ordinary,ordinary
"10,734",2,top_10_15,top_10_15,outstanding
"10,738",1,top_20_25,ordinary,ordinary
"10,749",3,top_30_35,ordinary,ordinary
"10,763",1,top_20_25,ordinary,ordinary
"10,774",2,top_20_25,ordinary,ordinary
"10,780",1,top_45_50,ordinary,ordinary
"10,786",5,top_5,top_5,outstanding
"10,792",3,top_5,top_5,outstanding
"10,801",5,top_5_10,top_5_10,outstanding
"10,853",7,top_5_10,top_5_10,outstanding
"10,857",4,top_5,top_5,outstanding
"10,877",10,top_15_20,ordinary,ordinary
"10,892",2,top_50_100,ordinary,ordinary
"10,900",7,top_50_100,ordinary,ordinary
